,funding_prediction,name
0,27505000.0,google
1,58975000.0,apple
2,66135000.0,amazon
3,6813526651.1,uber
4,1010438499.5,lyft
5,1785552000.0,airbnb
6,61570000.0,fitbit
7,3079262905.5,jawbone
8,427451999.5,coursera
9,928525661.5,twitter
10,1190739500.0,snapchat
11,768481407.0,dropbox
12,1751742448.0,spotify
13,64320000.0,asana
14,62165000.0,linkedin
15,246621500.0,instagram
16,406785407.0,buzzfeed
17,1286975151.1,pinterest
18,415589849.0,kayak
19,365830221.0,hubspot
20,122370000.0,quora
21,316310000.0,vivint
22,17320000.0,riot games
23,58000000.0,yik yak
24,93782407.0,doordash
